Rd-1,286250,36849,13481,4150,8456,26704,19901,68469,46709,19092,41074,121543,43544,14217,17499,455136
Wr-1,857843,24117,19440,17942,14812,18815,15305,10609,12963,9900,12318,11593,8639,13800,10298,208953
Rd-2,248475,35279,14074,5895,6702,26062,23190,60248,54658,24579,49476,92858,42067,25145,24647,490306
Wr-2,901759,20056,16678,14248,13367,13172,12233,10369,11366,10160,9957,10306,9018,10264,9364,198346
Rd-4,218912,26836,21649,13852,12794,28347,26277,60905,49842,35292,46297,75441,42886,32125,31807,501012
Wr-4,812384,21999,18729,17673,16152,14516,13688,12871,12507,12176,11520,11284,10935,11140,10796,266090
Rd-6,268978,22664,27117,23814,23557,24290,31162,46891,41208,34692,46185,64846,38945,32551,35405,461970
Wr-6,690179,20095,18056,18202,16446,15866,14614,14959,14317,13826,14227,13268,13596,13251,12877,373769
Rd-8,394103,26974,27440,30874,29304,22631,27181,32837,29565,24770,31531,41250,26177,22962,25146,437252
Wr-8,590560,18966,16919,17518,16226,15727,14789,15668,14829,14508,14960,14222,14551,14032,13597,479617
Rd-10,438769,26407,26431,33763,28924,21595,27524,29770,26269,22127,30162,36716,24080,20977,24821,415324
Wr-10,437132,15181,13717,14956,14607,15331,14220,15275,15338,14847,16155,15418,15743,16251,15575,643925
Rd-12,453315,25683,25041,34909,27855,19472,24576,25015,23301,18999,27374,28743,19680,16879,20694,443426
Wr-12,361581,13494,12807,13881,14857,15326,14220,14901,15602,14814,16229,15811,16088,16877,15650,725937
