name,time,commit,ld_stall,st_stall,alu_stall,frontend,misspec,misc
0-nettle-aes,1329315.9976980113,0.9799897089585445,0.0026020901019697213,0.00599782144637311,0.006777921890357672,0.003839568626901838,0.0007191668509635887,7.372212488957291e-05
0-minver,260360.9889509975,0.5896889144936146,0.007485760473765974,0.12510706819496104,0.2586946695485035,0.014725708392210745,0.0039214784216085475,0.00037640047533559027
0-crc32,2462985.0138520044,0.7482331412848529,0.07168171913635904,0.07100571015106846,0.10722842344337158,0.0014803175737954759,0.00033089929310019554,3.9789117452538846e-05
0-ud,1968392.9722310149,0.3815645467275378,0.00046637028934295245,0.05825208767639538,0.5570407004436969,0.0021509932517190205,0.00047551480482026524,4.978680648759187e-05
0-nbody,231176.99529199878,0.17296269138499756,0.003482180391622437,0.0028246755226452812,0.6435155877516813,0.05167469187369147,0.00399693749299271,0.12154323558236924
0-st,122120.99978500078,0.32757674646808727,0.0059776778873838095,0.09646170618271407,0.5222443323612016,0.03267251338446767,0.007844678652210533,0.007222345063934959
0-edn,1208073.000192994,0.9861854374716313,0.0019990513815093913,0.0037158350524205625,0.003468333452805114,0.0038540717318044414,0.0006961499842026494,8.112092562646806e-05
0-aha-mont64,911624.994746991,0.8729082674700518,0.0012461264297775,0.0004321952582150836,0.08181763381849858,0.004111339664441963,0.03937693701560116,0.00010750034341390404
0-nsichneu,1946447.8998050191,0.6889236028045459,0.05188939298612516,0.0005194076862274509,0.25101314042309875,0.005363616463120264,0.0022368952184315736,5.394441845092219e-05
0-matmult-int,937736.9896780159,0.9535882657087635,0.0027907611929636907,0.023103493024668843,0.011893526780712283,0.00751596671303328,0.0010034796647225193,0.00010450691513582029
