name,time,commit,ld_stall,st_stall,alu_stall,frontend,misspec,misc
0-nettle-aes,1791753.1394060825,0.9675624957915435,0.0027157759029309957,0.0006345740241743818,0.025783127699897906,0.002734193618672205,0.0005151379281556328,5.469503462540847e-05
0-minver,297224.9690330042,0.6168424194961984,0.0216065292929245,0.12686350047466585,0.21888807058056292,0.012128859872468518,0.003317352519904011,0.00035326776327578203
0-crc32,2584328.9968451792,0.7706425920524879,0.06877723394234299,0.06775298354572888,0.09121129712500121,0.0012614492984367213,0.00031652316752185216,3.792086848061309e-05
0-ud,2126600.872919046,0.4218322696762855,0.0007006486355640476,0.0574301466510555,0.5176740092695048,0.0018804657004165277,0.00043637713678082966,4.6082930392803134e-05
0-nbody,231176.98457299624,0.18063642732485846,0.005303296096990378,0.002089308331848575,0.6373601605374007,0.04917877106581045,0.003888795425117741,0.12154324121797362
0-st,123657.00110800154,0.37449558612176626,0.01197667731491007,0.09557081195652074,0.47398852854929713,0.02992147607371186,0.006914287038655037,0.007132632945138881
0-edn,1397000.9455190017,0.9749828372614193,0.0035805272831377377,0.014460978043572286,0.003193984953490721,0.003140298518817524,0.0005712236649228138,7.01502746396438e-05
0-aha-mont64,930056.9936249887,0.8984019252070692,0.0016321580402115417,0.00042685556124109485,0.059030790990575795,0.0037954663253931104,0.036607433988855305,0.00010536988665397303
0-nsichneu,1948277.8801150145,0.756490588512974,0.019462316123899825,0.00022070773599021376,0.21627202377061508,0.005283640544844792,0.0022199092050178477,5.0814106658212005e-05
0-matmult-int,1648904.9703960717,0.839672992230414,0.002453749653643253,0.14654634702323513,0.0062022979999529285,0.004557570105568227,0.0005076096045722696,5.943338261419644e-05
