,0
0-matmult-int,3.6555911372784236
0-nettle-aes,3.890385661733121
0-minver,1.8990697196837458
0-aha-mont64,2.146026488953226
0-nsichneu,1.166924127957479
0-crc32,1.6462641566507694
0-nbody,0.3374914274063502
0-st,0.7430155769521601
0-edn,2.9342091231039746
0-ud,1.1883302807238478
