name,time,commit,ld_stall,st_stall,alu_stall,frontend,misspec,misc
0-crc32,2341574.7543310192,0.7099225644008702,0.07388531998818419,0.07321354984841369,0.14111913334768086,0.001467815620083401,0.00034592105099434244,4.5695743773326716e-05
0-edn,1175417.9243129955,0.975783932326337,0.0020971264339368786,0.012058689685444752,0.005313003886383694,0.003979861037710636,0.0006840120295680529,8.337460061899152e-05
0-ud,1944708.303864997,0.31014024194080875,0.0007085895592985902,0.07089443682941751,0.615513903869823,0.0022404388315413336,0.0004499389436765359,5.245002543429333e-05
0-nbody,221793.33721800047,0.15660225709964243,0.003620487477541896,0.004373440664029439,0.653554348467756,0.05526766562852872,0.003769274634153207,0.12281252602834833
0-nettle-aes,1125930.3271239938,0.9623520221643946,0.004025115844935324,0.009861178558322354,0.018279106179305803,0.0046246200804453295,0.0007771351201055623,8.082205249097849e-05
0-wikisort,743412.0559529962,0.7737620762897148,0.11788886028711557,0.02394499774042611,0.05529235054885766,0.007027058490870512,0.020629205401223233,0.001455451241792093
0-qrduino,2582896.5604070127,0.587953688771688,0.06002989139277329,0.01485464055670667,0.19335075498389526,0.0054880246531306565,0.1380725056770389,0.0002504939647672335
0-st,120390.03317799982,0.293953180706217,0.006238057920373067,0.09557269564821905,0.5581774356739677,0.031622219045086906,0.00745908923101866,0.006977321775117678
0-picojpeg,1515163.207792007,0.8963735397001841,0.012315504959490511,0.028073543352459183,0.04015805009459591,0.004745363379353525,0.018229059323747476,0.00010493919016929213
0-nsichneu,1883135.8153650104,0.6720746347866026,0.05650681120913971,0.0005379325228348701,0.2635136541672194,0.005095755665472273,0.0021979296268642913,7.328202186694183e-05
0-slre,900710.6182309852,0.909640234773908,0.007388610576247632,0.00959797722489268,0.060393425922786244,0.005311361832722565,0.007560696923252648,0.00010769274619023596
0-aha-mont64,884229.6659379941,0.8645555508783412,0.0012598536815865192,0.0008120062328358356,0.08987257842757407,0.004640197177333473,0.03868565070559252,0.000174162896736377
0-matmult-int,908905.6542429638,0.9510499249374161,0.0030597235114752605,0.024208233161808757,0.013042057714860746,0.007542036918792848,0.000965996851159755,0.00013202690448652687
0-cubic,983847.7587739929,0.41729602482970163,0.009935480274083133,0.00678763552637618,0.3964200726401106,0.08077774156748939,0.019975651542358648,0.06880739361988049
0-nettle-sha256,1112612.9041080084,0.9270941405582275,0.0427462236186536,0.006549447676810949,0.01641900784410353,0.00629149632738804,0.0008116030262330571,8.808094858343256e-05
0-minver,251909.79613300043,0.5814930518051851,0.006049784579220476,0.14248751160534107,0.251772662173543,0.01416776979215084,0.0036640099518507217,0.00036521009270884763
0-huffbench,1802949.3374909945,0.6587214142931661,0.04614383680673752,0.011168367064612857,0.16264572381611062,0.011945427168780645,0.10874459748982226,0.0006306333607700048
0-sglib-combined,1905497.6959110014,0.5515061488482021,0.0361942185225405,0.04648706749427502,0.2873196861769245,0.004325903945036847,0.07384265029653035,0.0003243247164906917
