Name,wallclock(s),hostfreq(MHz),targetcycles(#),sim-freq(kHz),FMR
fpga-cnt-3-10-3-10,960.2,10.0,300288130,312.749,31.97
fpga-cnt-3-30-3-30,415.0,30.0,300288130,723.649,41.46
fpga-cnt-3-70-3-70,262.7,70.0,300288130,1143.0,61.25
fpga-cnt-3-50-3-50,310.4,50.0,300288130,967.358,51.69
