Name,wallclock(s),hostfreq(MHz),targetcycles(#),sim-freq(kHz),FMR
fpga-cnt-5-10-5-10,1573.6,10.0,300288130,190.827,52.4
fpga-cnt-5-50-5-50,501.8,50.0,300288130,598.389,83.56
fpga-cnt-5-30-5-30,678.4,30.0,300288130,442.62,67.78
fpga-cnt-5-70-5-70,424.9,70.0,300288130,706.729,99.05
