Name,wallclock(s),hostfreq(MHz),targetcycles(#),sim-freq(kHz),FMR
fpga-cnt-4-70-4-70,341.4,70.0,300288130,879.655,79.58
fpga-cnt-4-10-4-10,1267.3,10.0,300288130,236.949,42.2
fpga-cnt-4-50-4-50,402.6,50.0,300288130,745.801,67.04
fpga-cnt-4-30-4-30,546.2,30.0,300288130,549.789,54.57
