Name,wallclock(s),hostfreq(MHz),targetcycles(#),sim-freq(kHz),FMR
fpga-cnt-6-30-6-30,812.8,30.0,300288130,369.47,81.2
fpga-cnt-6-10-6-10,1884.4,10.0,300288130,159.356,62.75
fpga-cnt-6-70-6-70,508.9,70.0,300288130,590.105,118.62
fpga-cnt-6-50-6-50,598.9,50.0,300288130,501.42,99.72
